fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
11,10,1,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,12,13.2,1.8,6,2.1,50,-7155,756694,48645,55800
21,3,7,0,3,3,90,0,0,1,0,0,0,0,0,0,0,1,29,19.8,1.5,4,2.5,50,-29099,754827,68563,97662
31,9,9,2,1,4,90,1,0,0,1,0,0,0,0,0,0,1,27,46.2,12.6,35,9.4,50,-20145,759675,41844,61989
41,2,2,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69,8.8,50,176657,994950,213104,36447
56,14,1,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,13,14,1,10,2.5,51,85958,1123841,160863,74905
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2728,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-943,1740,0,943
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-405,1375,0,405
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-181,1209,0,181
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-107,1100,0,107
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-90,1013,0,90
1,7,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,45,0,19266,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,112,25819,3667,3555
21,3,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,0,0,45,-3226,24783,3055,6281
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2096,24708,3152,5248
41,2,2,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,6.2,0,1.7,44,-418,26009,3244,3662
56,14,2,3,1,6,73,0,0,0,2,0,0,0,0,0,0,0,15,7.4,12.4,0,2,44,4771,33910,8785,4014
1,7,8,0,2,1,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39,9.2,60,0,1728741,0,0
11,10,8,4,2,2,90,1,0,0,2,0,0,0,0,0,0,1,30,42.4,51.8,15,10.9,61,379500,2396763,430548,51048
21,3,6,0,3,3,74,0,1,1,0,0,0,0,0,0,0,0,11,2,6.3,30,3.8,63,1180060,3788936,1242606,62546
31,9,2,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,20,25.8,59,101,18.6,64,243247,4084833,372203,128956
41,2,10,2,1,5,90,1,0,0,1,0,0,0,0,0,0,3,34,44,30.7,69,14.4,64,-151656,3952017,117275,268931
56,14,2,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,8,11.4,33.1,53,9.8,65,552114,4624595,649197,97083
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4463,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1024,4655,162,1186
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1521,3150,0,1521
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-550,2639,0,550
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-261,2390,0,261
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-175,2217,0,175
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4894,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-960,5165,491,1451
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-785,4946,619,1404
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-778,4504,287,1065
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-320,4584,260,580
60,20,1,1,0,6,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0.5,2,0.5,48,502,5485,1161,659
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,39173,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-9658,34449,2811,12469
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-11907,22621,0,11907
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-5145,18037,0,5145
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2345,15829,0,2345
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1852,14008,0,1852
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2725,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-585,3093,119,704
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1010,2113,33,1043
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-361,1801,19,380
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-129,1699,20,149
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-114,1609,18,132
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60915,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-2489,73999,4057,6546
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-6909,72486,4011,10920
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-6448,69615,2566,9014
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9981,92971,17099,7118
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20600,130171,30415,9815
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,15311,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-4909,10655,173,5082
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-2728,8285,194,2922
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-940,8261,343,1283
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-673,8394,333,1006
56,14,1,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,4,4.8,1.2,10,1.6,57,-518,8672,600,1118
1,7,8,0,2,1,90,0,0,1,0,0,0,0,0,0,0,2,30,22.2,0.1,0,2.2,45,0,163701,0,0
11,10,-1,4,2,2,90,0,0,0,2,1,0,0,0,0,0,0,9,7.4,0.7,0,0.8,45,184739,494654,212268,27529
21,3,14,0,3,3,90,1,0,1,0,0,0,0,0,0,0,2,39,50.4,0.8,17,6.8,45,6206,521329,95924,89718
31,9,7,2,1,4,90,0,1,0,1,0,0,0,0,0,0,2,28,29.8,11.5,2,4.3,46,458557,1109607,508914,50357
41,2,1,2,1,5,90,0,0,0,1,0,0,0,1,0,0,0,9,12.8,10.8,0,2.4,47,575350,1764468,619979,44629
56,14,0,3,1,6,90,0,0,0,3,0,0,0,1,0,0,0,11,10.4,0.9,4,1.5,48,250098,2068486,360487,110389
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8331,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1637,8780,675,2312
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1501,8125,964,2465
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1113,7596,570,1683
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-632,7475,369,1001
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-347,7711,543,890
1,7,2,0,2,1,82,0,0,1,0,0,0,0,0,0,0,0,7,7.4,3.2,38,4.9,80,0,6018571,0,0
11,10,19,4,2,2,83,2,2,0,2,0,0,0,0,0,0,3,65,98.6,33.7,105,23.7,80,-265945,6211795,105825,371770
21,3,4,0,3,3,90,0,1,1,0,0,0,0,1,0,0,0,15,25.6,23.1,54,10.3,81,853585,7496318,882488,28903
31,9,1,2,1,4,88,0,0,0,1,0,0,0,1,0,0,0,0,8.2,27.6,79,11.5,82,237640,7962228,268237,30597
41,2,6,2,1,5,87,1,0,0,1,0,0,0,0,0,0,0,19,37.8,12.3,92,14.2,82,-70519,8026017,106179,176698
56,14,1,3,1,6,90,0,0,0,3,0,0,0,1,0,0,0,5,11,54.7,22,8.8,82,-129699,8025951,102712,232411
2,3,2,2,0,1,81,0,0,0,2,0,0,0,0,0,0,0,7,3,19.9,21,4.4,70,0,1342560,0,0
12,8,0,2,1,2,59,0,0,0,0,0,0,0,1,0,0,0,6,1.4,3.5,2,0.7,70,-121965,1363566,58301,180266
22,7,1,3,1,3,17,0,0,0,0,0,0,0,0,0,0,0,3,6.6,0.9,38,4.6,69,-716273,645415,5216,721489
32,19,3,0,1,4,65,0,0,1,0,0,0,0,0,0,0,0,11,13.2,30.1,7,5,68,-136141,546055,10295,146436
41,1,1,2,1,5,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9,2,0.3,68,-73491,483387,8313,81804
51,13,1,1,1,6,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,2,0.2,67,-59210,431897,9866,69076
2,3,1,2,0,1,65,0,0,0,1,0,0,0,1,0,0,0,0,1,12.5,33,4.7,70,0,180366,0,0
12,8,6,2,1,2,77,1,0,1,0,0,0,0,1,0,0,1,23,31.8,10,47,8.9,70,-31634,168411,12338,43972
22,7,1,3,1,3,24,0,0,0,1,0,0,0,0,0,0,0,1,1,0,17,1.8,70,19882,208449,45537,25655
