Likes,Comments,Views
9965,197,325200
4452,86,190418
4427,124,331718
2713,16,61478
5940,143,593989
8031,169,332371
19154,610,1756737
247914,8681,16294784
74081,1758,3176730
11197,186,325309
68762,1160,3691767
9700,219,461467
11059,481,1104214
4148,123,149363
53,1,6817
1571,7,37883
185175,6838,9147428
3685,28,23653
903,27,40275
16915,439,1695867
19800,443,775719
766,28,65632
77692,2892,3731583
5743875,178361,826423766
1103713,29774,106151957
28863,605,1723190
11025176,335455,1582262997
45448,1680,10155588
475,21,66279
1357197,39624,153478497
24970,1225,3248506
68133,1358,9253680
11323,210,2812807
282754,10831,19469009
1019385,24603,193685278
164337,7092,7108897
22420,679,6599382
9313,433,1722365
27102,2311,2549580
1628,85,97163
24285,893,1285807
7240,167,1316713
7375,368,2362949
74617,1982,8122555
338601,19063,38478475
1668,107,258994
280090,11424,37037129
72612,1063,14914811
4986,134,617350
73362,4072,10331666
6177588,125791,378164492
6473,455,267705
21946,481,3776936
120500,5172,5156616
639942,23316,161103805
94089,1537,5434925
10818,291,2058438
14386,332,1853171
37,1,31343
371,19,23448
2382,114,104246
137327,6197,6216027
9368,279,398061
431284,33369,10450206
23130,1323,1188153
2639,1009,131943
881,17,45584
7110,374,262959
34575,350,1309077
4560,144,150633
26171,577,1451335
3749,715,167574
50074,3095,7178954
37645,2115,753025
130817,6868,17103736
222713,12557,6281449
310589,23024,6701666
3121,104,143605
908,932,37905
1445,296,6611
2951,580,63675
1237,709,65745
32962,2355,3371830
19436,1683,940004
324,51,6631
6559,257,157301
28195,2588,943664
992,18,59749
1796,47,77345
5524,526,206418
9633,179,88788
17548,664,481643
28878,605,544761
12675,909,167962
345943,11838,18380002
2586,98,52954
98631,3188,1044608
1809,65,94188
23676,1913,167863
31710,456,444036
1333,22,119487
54092,2452,1655085
16605,849,183096
287909,6424,23169378
11316,850,187063
12935,80,129591
4279,171,188490
2815,79,97537
11751,659,408227
7246,464,88247
26848,239,273349
5675,54,70181
64464,3171,1564078
20892,622,795386
4510,264,276901
2990,160,42924
10676,399,111027
35092,1804,1815767
88340,2982,6734947
1184,54,50148
3396,116,145497
1229,24,22525
2716,53,66379
1251353,71682,18565979
6642,312,314438
57527,1115,1204024
2779,83,187668
8260,1127,216482
83345,4558,4452337
2963,193,50724
37251,1452,389051
8560,152,107957
4160,122,218182
3245,437,51716
298445,15610,3773387
407,69,7163
506,35,10309
8860,238,140916
586,83,12464
51658,1455,876309
18806,1403,689166
3562,118,87567
15128,639,338212
38148,3767,932919
45253,4353,3243901
669,95,24686
15036,1563,385709
80947,5557,2706505
21809,1899,549530
1115,121,25201
19894,1070,977299
18698,1258,400968
549,69,17195
70001,2654,1879805
10660,363,196727
70562,3866,2535222
1786,257,30191
48633,4129,4154143
9624,864,240450
9354,766,210192
503,52,13591
30046,2138,674979
863,102,61085
7675,1875,327146
1218,258,45214
13503,400,273900
2043,257,25291
1529,50,66259
1111,40,20897
692,74,19220
25308,3426,897553
4227,184,108874
4144,895,419705
4897,1299,231325
12892,778,290351
22430,927,488575
6383,330,258491
1800,208,53207
2309,554,99569
86374,15363,8596384
3083,140,55195
3480,278,126212
9475,292,284841
712273,32736,18116954
1962726,62540,37550877
3710978,224423,63310479
4493972,177471,99698731
2946965,131040,71968133
302909,7693,8097268
3550678,157803,93963115
142261,14797,2529954
14259033,611757,285526909
2897163,104483,85522922
207061,7997,4573945
365592,7270,11123363
3945358,145722,125670049
3963124,728774,116842899
6055504,239172,191988678
374130,26390,10280971
31521,926,889300
2869906,119182,94508185
2021442,121200,66999237
3514143,129023,97578090
3557658,127113,160818375
598389,19760,25367316
1572751,52457,91053784
1511358,81100,69330547
1801566,76492,61197670
378105,9251,13637506
312575,1902,3392295
385059,10374,17321080
4763784,174632,110124989
2030057,81670,107126467
4437532,109214,180766617
367987,6645,11118461
2135851,91698,93319974
1080199,36374,37780348
1552125,67399,66839006
446014,8278,20779962
2129926,91190,98750169
319041,5526,9734303
4120158,177881,136439525
3136265,101503,79882619
557743,19706,21747698
2121115,65601,92621700
3206546,108235,156000008
632277,19405,18492610
2523764,136866,134377650
372266,6699,13545273
381271,14433,15014572
492024,41183,6968660
201509,9784,6383519
494889,23110,7715681
61448,4080,1928710
11244,6530,755642
544,614,53110
6958,4724,288312
656,1495,51269
1120,9,66507
18730,6675,1101187
13751,6364,791042
8090,9231,537070
29541,18044,873549
4634,4005,366447
2323,1979,83353
5630,5028,386436
7890,6193,462943
2521,1670,71652
12415,16954,1020152
3215,5058,288796
6465,10191,633520
4840,3004,251101
9069,10614,1084758
1531,175,85359
5089,5964,454927
4836,12045,264809
19359,13212,931636
6554,12194,549566
8070,6888,576311
3847,3053,278240
5936,4649,473122
31563,38618,1889320
7973,11184,749734
11650,12453,438358
7538,7921,566143
644,886,65137
5947,4890,393718
6164,8022,386949
11563,7302,620690
12849,6876,858549
9666,17218,713211
6383,3955,591721
25885,8813,1178354
1274,1832,112418
4615,3057,278274
7402,5297,367781
2983,4589,240447
16316,11467,1299714
21111,9407,1203517
1862,4996,148992
16641,9979,1195181
8684,5762,475535
4898,9878,499461
13318,7773,657999
1869,135,88980
1777,194,64368
4386,176,170305
132298,8115,4981769
61100,4466,3452571
49931,2293,2494758
37430,1375,1503148
542855,43802,18496859
45800,1681,3588950
36655,1387,1433436
51924,3057,2110850
1,2,63
409962,10759,10330078
31742,3089,1205719
0,1,25
56774,2220,1011277
5902,274,313847
396477,10721,23925458
14687,328,689762
19915,1101,1471735
4293,110,287879
226135,15445,9629509
128800,4481,3526040
105414,6858,3863719
