followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
2,27,3,0,0
27770,793,3,0,0
90,144,0,0,0
52,388,0,0,0
67,132,1,0,1
357,472,0,0,0
473,826,1,0,0
1912,3328,0,0,0
562,1381,5,0,0
44,146,1,0,1
87,147,2,0,1
777,169,1,0,1
2,0,0,0,0
26523,26779,170,76,5
1,0,0,0,0
51289,42973,39,9,0
1,0,0,0,0
41,239,0,0,0
2932,910,1,0,0
27399,396,6,0,0
385604,5977,43,10,0
332,324,0,0,0
922,1126,0,0,0
1336,966,5,0,0
14,115,0,0,0
1049,904,4,0,1
538,906,0,0,1
8021,7938,0,0,0
298,245,2,0,0
2943,290,0,0,0
512,5000,43,5,5
491,1330,2,0,1
351,164,37,8,6
150658,172,1,0,1
160,585,1,0,1
1818,1551,1,0,1
582,1180,0,0,0
338,267,0,0,1
850,1228,0,0,0
389,537,0,0,1
5,5,2,0,1
493,218,0,0,0
435,573,4,0,0
83,268,0,0,2
297,2359,1,0,0
42,94,2,0,1
367,465,6,0,0
521,833,0,0,1
7723,2330,10,0,0
1913,878,1,0,0
1278,1332,0,0,0
19609,1599,57,12,2
2820,786,0,0,0
966,993,2,0,1
2800,2870,0,0,1
338,761,1,0,0
2048,3647,3,0,0
2,16,1,0,0
377,32,0,0,0
338,267,1,0,1
714,705,2,0,1
68,405,5,0,0
730,732,1,0,0
645,978,2,0,0
2581,1245,3,0,0
110,498,1,0,0
4912,4848,2,0,0
105,130,0,0,0
150,192,0,0,1
681,721,1,0,0
75,85,13,3,1
68,568,2,0,0
4500,431,1,0,1
2202,735,9,0,2
3298,3734,2,1,0
4041,4997,0,0,3
7824,6683,1,0,1
8,45,0,0,0
25,72,0,0,1
940,33,0,0,0
97,203,0,0,1
1110,1793,3,1,0
421,642,0,0,1
527,650,4,0,0
25,33,1,0,0
41,141,1,0,0
1214,1777,0,0,0
149,434,0,1,0
453,706,6,2,1
104,294,1,0,0
287,841,0,0,1
381,490,1,0,0
1015,539,12,3,2
36,254,0,0,0
96,176,0,0,0
260,531,1,0,1
69,240,0,0,0
5,45,0,0,0
498,216,4,0,0
25,33,0,0,0
1161,589,3,0,1
54,491,0,0,0
208,352,2,0,0
758,693,1,0,0
3806,275,16,2,1
126,937,0,0,1
1,102,0,0,0
89,1197,0,0,0
29,103,0,0,0
94,204,0,0,0
246,297,0,0,0
875,1522,0,0,0
240,214,0,0,0
1213,1085,3,0,0
427,300,3,0,0
3775,922,9,0,0
1473,994,6,0,0
495,607,0,0,0
293,488,7,0,0
162,162,0,0,0
283,22,0,0,0
12522,4148,47,14,3
1432,1280,0,0,1
1432,1280,0,0,1
363,179,0,0,0
487,1495,0,0,1
843,1243,2,0,0
100,115,1,0,0
82,181,2,1,0
75,164,0,0,0
816,922,0,0,0
2810,4996,1,0,0
383,1685,6,1,2
2198,2580,0,0,0
120,153,0,0,0
9,132,0,0,0
103,722,0,0,0
3412,3409,2,2,0
101,487,0,0,1
82,181,1,0,0
3064,1559,14,0,0
184,1252,3,0,2
0,1,0,0,0
10,189,0,0,0
830,2948,0,0,0
99,415,0,0,1
560,856,4,0,2
1296,1368,0,0,2
13,57,1,0,0
4439,1877,0,0,0
23,6,0,0,0
14,1,0,0,0
1038,800,1,0,1
977,1084,0,0,1
231,161,0,0,0
11940,902,33,1,2
1,1,0,0,0
9851,1745,25,7,1
1648,1450,0,0,0
2468,952,42,4,0
862,1420,0,0,2
801,169,3,0,0
957,1381,48,1,0
209,205,1,0,0
11808,12759,6,3,0
28,75,0,0,1
15,94,0,0,0
7,100,0,0,0
8,0,0,0,0
46,116,2,0,0
2079,3541,3,2,0
586,2104,0,0,0
3024,1030,2,0,1
200,176,1,0,0
5074,4724,14,1,0
56178,1665,0,1,0
1046,2070,2,0,2
70,264,0,0,0
23557,440,356,41,7
120,695,0,0,0
